ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
3371,300483,300483,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3372,300484,300484,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3373,300485,300485,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3374,300486,300486,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3375,300487,300487,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3376,300488,300488,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3377,300489,300489,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3378,300490,300490,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3379,300491,300491,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
338,09062589,09062589,Destornillador EC,AMT,ECR326DWR300W3AWD350-300,husillo / Spindel,en el servicio / im Betrieb
3380,300492,300492,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3381,300493,300493,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3382,300494,300494,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3383,300495,300495,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3384,300496,300496,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3385,300497,300497,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3386,300498,300498,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3387,300499,300499,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,gel÷scht
3388,300500,300500,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3389,300502,300502,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
339,09062590,09062590,Destornillador EC,AMT,ECR220DWR200W2SWD225-300,husillo / Spindel,en el servicio / im Betrieb
3390,300503,300503,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3391,300504,300504,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
